bot_config,lam_confirm,lam_disconfirm,session_id,round,draw_red,draw_blue,true_bayes_mode,bot_mode,modes_diverge,quadratic_score
bayesian,0.0,0.0,15,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,15,2,2,1,13,13,0,0.14088837289301692
bayesian,0.0,0.0,15,3,2,1,13,13,0,0.16518572722541386
bayesian,0.0,0.0,15,4,2,1,13,13,0,0.17174554358161717
bayesian,0.0,0.0,15,5,2,1,13,13,0,0.12947396111233592
bayesian,0.0,0.0,16,1,1,2,6,6,0,0.04134622269960614
bayesian,0.0,0.0,16,2,1,2,6,6,0,-0.01803835569315447
bayesian,0.0,0.0,16,3,3,0,11,11,0,0.1921919767807812
bayesian,0.0,0.0,16,4,2,1,12,12,0,0.27428071831633083
bayesian,0.0,0.0,16,5,2,1,12,12,0,0.3809107442517135
bayesian,0.0,0.0,17,1,1,2,6,6,0,0.04134622269960614
bayesian,0.0,0.0,17,2,3,0,13,13,0,0.1408883728930168
bayesian,0.0,0.0,17,3,1,2,11,11,0,0.19219197678078115
bayesian,0.0,0.0,17,4,1,2,10,10,0,0.09483927447465856
bayesian,0.0,0.0,17,5,2,1,11,11,0,0.16889017298299452
bayesian,0.0,0.0,18,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,18,2,1,2,10,10,0,0.11916638000229333
bayesian,0.0,0.0,18,3,3,0,13,13,0,0.16518572722541386
bayesian,0.0,0.0,18,4,3,0,15,15,0,-0.06230674334803715
bayesian,0.0,0.0,18,5,1,2,14,14,0,0.12947396111233592
bayesian,0.0,0.0,19,1,3,0,20,20,0,-0.0438381668456856
bayesian,0.0,0.0,19,2,1,2,13,13,0,0.14088837289301687
bayesian,0.0,0.0,19,3,2,1,13,13,0,0.16518572722541386
bayesian,0.0,0.0,19,4,1,2,12,12,0,0.274280718316331
bayesian,0.0,0.0,19,5,2,1,12,12,0,0.38091074425171373
bayesian,0.0,0.0,20,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,20,2,3,0,17,17,0,-0.00905142758857927
bayesian,0.0,0.0,20,3,1,2,13,13,0,0.16518572722541391
bayesian,0.0,0.0,20,4,2,1,13,13,0,0.17174554358161723
bayesian,0.0,0.0,20,5,2,1,13,13,0,0.12947396111233603
bayesian,0.0,0.0,21,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,21,2,0,3,6,6,0,-0.018038355693154443
bayesian,0.0,0.0,21,3,2,1,9,9,0,0.03501169576149095
bayesian,0.0,0.0,21,4,2,1,10,10,0,0.09483927447465865
bayesian,0.0,0.0,21,5,3,0,12,12,0,0.3809107442517137
bayesian,0.0,0.0,22,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,22,2,2,1,13,13,0,0.14088837289301692
bayesian,0.0,0.0,22,3,1,2,11,11,0,0.19219197678078132
bayesian,0.0,0.0,22,4,1,2,10,10,0,0.09483927447465867
bayesian,0.0,0.0,22,5,3,0,12,12,0,0.3809107442517137
bayesian,0.0,0.0,23,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,23,2,1,2,10,10,0,0.11916638000229333
bayesian,0.0,0.0,23,3,2,1,11,11,0,0.19219197678078134
bayesian,0.0,0.0,23,4,3,0,13,13,0,0.1717455435816172
bayesian,0.0,0.0,23,5,0,3,11,11,0,0.16889017298299477
bayesian,0.0,0.0,24,1,2,1,13,13,0,0.10550662370211243
